Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SPRINT 1,Chrome 131.0.0.0,,,01-01-2025 21:52:51,01-01-2025 21:59:08,6m - 17.155s,FAILED
,,,,,,,
Test Cases/Master Data/Admin Sekolah/Master Data Akun Bank/Tambah Akun Bank,Chrome 131.0.0.0,,,01-01-2025 21:52:51,01-01-2025 21:53:07,15.690s,PASSED
"openBrowser("""", CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,01-01-2025 21:52:52,01-01-2025 21:52:54,1.960s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,01-01-2025 21:52:54,01-01-2025 21:52:54,0.062s,PASSED
"navigateToUrl(""https://school-payment.digiform.co.id/login"", CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,01-01-2025 21:52:54,01-01-2025 21:52:54,0.352s,PASSED
"click(findTestObject(""Master Data/Admin Sekolah/Login/Field Email""), CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,01-01-2025 21:52:54,01-01-2025 21:52:56,1.507s,PASSED
"setText(findTestObject(""Master Data/Admin Sekolah/Login/Field Email""), ""admin.sekolah@gmail.com"", CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,01-01-2025 21:52:56,01-01-2025 21:52:57,0.676s,PASSED
"click(findTestObject(""Master Data/Admin Sekolah/Login/Input Password""), CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,01-01-2025 21:52:57,01-01-2025 21:52:57,0.314s,PASSED
"setText(findTestObject(""Master Data/Admin Sekolah/Login/Input Password""), ""Test1234"", CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,01-01-2025 21:52:57,01-01-2025 21:52:57,0.574s,PASSED
"click(findTestObject(""Master Data/Admin Sekolah/Login/Button Submit""), CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,01-01-2025 21:52:57,01-01-2025 21:52:58,0.303s,PASSED
"click(findTestObject(""Master Data/Admin Sekolah/Tagihan/Master Data Menu""), CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,01-01-2025 21:52:58,01-01-2025 21:53:00,2.039s,PASSED
"click(findTestObject(""Master Data/Admin Sekolah/Akun Bank/Menu Akun Bank""), CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,01-01-2025 21:53:00,01-01-2025 21:53:01,0.753s,PASSED
"click(findTestObject(""Master Data/Admin Sekolah/Akun Bank/Button Tambah Akun Bank""), CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,01-01-2025 21:53:01,01-01-2025 21:53:01,0.693s,PASSED
"click(findTestObject(""Master Data/Admin Sekolah/Akun Bank/Tambah Akun Bank/Dropdown Pilih Nama Bank""), CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,01-01-2025 21:53:01,01-01-2025 21:53:02,0.526s,PASSED
"click(findTestObject(""Master Data/Admin Sekolah/Akun Bank/Tambah Akun Bank/Pilih Dropdown Nama Bank""), CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,01-01-2025 21:53:02,01-01-2025 21:53:02,0.539s,PASSED
randomName = generateRandomName(),Chrome 131.0.0.0,,,01-01-2025 21:53:02,01-01-2025 21:53:02,0.000s,PASSED
"firstNames = [""John"", ""Jane"", ""Michael"", ""Sarah"", ""David"", ""Emily"", ""Rafael"", ""Sophia""]",Chrome 131.0.0.0,,,01-01-2025 21:53:02,01-01-2025 21:53:02,0.000s,PASSED
"lastNames = [""Doe"", ""Smith"", ""Johnson"", ""Williams"", ""Brown"", ""Davis"", ""Taylor"", ""Wilson""]",Chrome 131.0.0.0,,,01-01-2025 21:53:02,01-01-2025 21:53:02,0.009s,PASSED
random = new java.util.Random(),Chrome 131.0.0.0,,,01-01-2025 21:53:02,01-01-2025 21:53:02,0.008s,PASSED
firstName = firstNames[random.nextInt(firstNames.size())],Chrome 131.0.0.0,,,01-01-2025 21:53:02,01-01-2025 21:53:02,0.008s,PASSED
lastName = lastNames[random.nextInt(lastNames.size())],Chrome 131.0.0.0,,,01-01-2025 21:53:02,01-01-2025 21:53:02,0.000s,PASSED
return ((firstName +  ) + lastName),Chrome 131.0.0.0,,,01-01-2025 21:53:02,01-01-2025 21:53:02,0.000s,PASSED
"println(""Generated random name: "" + randomName)",Chrome 131.0.0.0,,,01-01-2025 21:53:02,01-01-2025 21:53:02,0.007s,PASSED
"setText(findTestObject(""Master Data/Admin Sekolah/Akun Bank/Tambah Akun Bank/Set Text Nama Rekening""), randomName, CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,01-01-2025 21:53:02,01-01-2025 21:53:03,0.617s,PASSED
nomorRekeningList = [],Chrome 131.0.0.0,,,01-01-2025 21:53:03,01-01-2025 21:53:03,0.000s,PASSED
"for ([i = 0, i < 5, (i++)])",Chrome 131.0.0.0,,,01-01-2025 21:53:03,01-01-2025 21:53:03,0.000s,PASSED
random = new java.util.Random(),Chrome 131.0.0.0,,,01-01-2025 21:53:03,01-01-2025 21:53:03,0.008s,PASSED
accountNumber = new java.lang.StringBuilder(),Chrome 131.0.0.0,,,01-01-2025 21:53:03,01-01-2025 21:53:03,0.009s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 131.0.0.0,,,01-01-2025 21:53:03,01-01-2025 21:53:03,0.024s,PASSED
return accountNumber.toString(),Chrome 131.0.0.0,,,01-01-2025 21:53:03,01-01-2025 21:53:03,0.000s,PASSED
random = new java.util.Random(),Chrome 131.0.0.0,,,01-01-2025 21:53:03,01-01-2025 21:53:03,0.000s,PASSED
accountNumber = new java.lang.StringBuilder(),Chrome 131.0.0.0,,,01-01-2025 21:53:03,01-01-2025 21:53:03,0.000s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 131.0.0.0,,,01-01-2025 21:53:03,01-01-2025 21:53:03,0.000s,PASSED
return accountNumber.toString(),Chrome 131.0.0.0,,,01-01-2025 21:53:03,01-01-2025 21:53:03,0.000s,PASSED
